Crash_Score,year,Month,Time_of_Day,Rd_Feature,Rd_Character,Rd_Class,Rd_Configuration,Rd_Surface,Light,Traffic_Control,Work_Area,WETorDRY,Log_Crash_Score,Feature_Interaction
4.54,2016,6,LATE-EARLY,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DARK-NOT-LIT,OTHER,NO,4.454893394154628,1.5129270120532565,OTHER_OTHER
2.69,2016,7,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,4.454893394154628,0.9895411936137477,OTHER_OTHER
3.99,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.3837912309017721,OTHER_OTHER
9.4,2016,7,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,2.2407096892759584,INTERSECTION_SIGNAL-STOP
9.62,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.263844264677615,OTHER_OTHER
6.95,2016,6,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-PROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.9387416595767009,INTERSECTION_SIGNAL-STOP
8.27,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,ONE-WAY,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.1126345090356,OTHER_OTHER
3.82,2016,7,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.3402504226184837,OTHER_OTHER
4.15,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.423108334242607,OTHER_OTHER
2.44,2016,7,DAYTIME,OTHER,STRAIGHT,US HWY,TWO-WAY-PROTECTED-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,0.8919980393051105,OTHER_OTHER
5.49,2016,7,DAYTIME,INTERSECTION,STRAIGHT,US HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DUSK,SIGNAL-STOP,NO,0.22307133307770122,1.7029282555214393,INTERSECTION_SIGNAL-STOP
4.76,2016,7,DAYTIME,OTHER,STRAIGHT,US HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DUSK,OTHER,NO,-0.8417344818553207,1.5602476682433286,OTHER_OTHER
1.08,2016,7,LATE-EARLY,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,OTHER,DARK-LIT,OTHER,NO,-0.8417344818553207,0.0769610411361284,OTHER_OTHER
15.03,2016,7,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,2.710048203764883,INTERSECTION_SIGNAL-STOP
6.41,2016,7,OVERNIGHT,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.8578592709325787,INTERSECTION_SIGNAL-STOP
11.32,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.4265710727750367,OTHER_OTHER
3.7,2016,7,DAYTIME,OTHER,CURVE,US HWY,TWO-WAY-PROTECTED-MEDIAN,OTHER,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.308332819650179,OTHER_SIGNAL-STOP
6.89,2016,7,LATE-EARLY,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.9300710850255671,INTERSECTION_SIGNAL-STOP
10.44,2016,7,OVERNIGHT,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DARK-LIT,OTHER,NO,0.22307133307770122,2.3456445824544927,OTHER_OTHER
8.35,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,YES,-0.8417344818553207,2.122261538862764,OTHER_OTHER
4.13,2016,7,DAYTIME,INTERSECTION,STRAIGHT,OTHER,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,4.454893394154628,1.4182774069729414,INTERSECTION_SIGNAL-STOP
2.65,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,0.9745596399981308,OTHER_OTHER
4.54,2016,7,LATE-EARLY,OTHER,STRAIGHT,US HWY,TWO-WAY-PROTECTED-MEDIAN,ASPHALT,DARK-NOT-LIT,OTHER,NO,4.454893394154628,1.5129270120532565,OTHER_OTHER
1.83,2016,7,LATE-EARLY,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,0.6043159668533296,OTHER_OTHER
2.51,2016,7,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DARK-LIT,SIGNAL-STOP,NO,4.454893394154628,0.9202827531436925,INTERSECTION_SIGNAL-STOP
3.28,2016,7,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.1878434223960523,INTERSECTION_SIGNAL-STOP
9.97,2016,7,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,2.299580583973747,INTERSECTION_SIGNAL-STOP
7.55,2016,7,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,2.0215475632609334,OTHER_SIGNAL-STOP
2.87,2016,7,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.0543120297715298,INTERSECTION_SIGNAL-STOP
3.55,2016,7,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.2669476034873244,OTHER_SIGNAL-STOP
8.19,2016,7,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,2.102913897864978,INTERSECTION_SIGNAL-STOP
4.33,2016,7,LATE-EARLY,OTHER,STRAIGHT,US HWY,TWO-WAY-PROTECTED-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.4655675420143985,OTHER_OTHER
20.08,2016,7,OVERNIGHT,OTHER,CURVE,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DARK-LIT,OTHER,NO,-0.8417344818553207,2.9997242948235283,OTHER_OTHER
7.2,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.9740810260220096,OTHER_OTHER
11.2,2016,7,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,2.4159137783010487,INTERSECTION_SIGNAL-STOP
1.08,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,0.0769610411361284,OTHER_OTHER
3.08,2016,7,DAYTIME,INTERSECTION,CURVE,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.1249295969854831,INTERSECTION_SIGNAL-STOP
2.99,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.095273387402595,OTHER_OTHER
13.7,2016,7,LATE-EARLY,OTHER,STRAIGHT,US HWY,TWO-WAY-PROTECTED-MEDIAN,OTHER,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.617395832834079,OTHER_OTHER
10.64,2016,7,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.3646204839134985,OTHER_OTHER
10.49,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.3504224224082058,OTHER_OTHER
6.3,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.840549633397487,OTHER_OTHER
3.59,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.2781522025001875,OTHER_OTHER
3.29,2016,7,LATE-EARLY,OTHER,STRAIGHT,OTHER,ONE-WAY,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.1908875647772805,OTHER_OTHER
2.77,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.0188473201992472,OTHER_OTHER
7.75,2016,7,LATE-EARLY,OTHER,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DARK-NOT-LIT,OTHER,NO,-0.8417344818553207,2.0476928433652555,OTHER_OTHER
13.67,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-PROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,2.6152036507358583,OTHER_SIGNAL-STOP
2.99,2016,7,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,YES,-0.8417344818553207,1.095273387402595,INTERSECTION_OTHER
4.48,2016,7,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.4996230464268938,OTHER_SIGNAL-STOP
3.7,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.308332819650179,OTHER_OTHER
4.47,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.4973884086254774,OTHER_OTHER
9.0,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.1972245773362196,OTHER_OTHER
5.76,2016,7,OVERNIGHT,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DARK-LIT,OTHER,NO,-0.8417344818553207,1.7509374747078,OTHER_OTHER
1.68,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,0.5187937934151675,OTHER_OTHER
7.23,2016,7,DAYTIME,INTERSECTION,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.9782390361706734,INTERSECTION_SIGNAL-STOP
3.22,2016,7,LATE-EARLY,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.169381359556317,INTERSECTION_SIGNAL-STOP
9.31,2016,7,DAYTIME,OTHER,CURVE,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.231089091288976,OTHER_OTHER
7.25,2016,7,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.9810014688665833,INTERSECTION_SIGNAL-STOP
4.18,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.430311246536665,OTHER_OTHER
10.82,2016,7,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.3813962734183356,OTHER_OTHER
15.83,2016,7,DAYTIME,INTERSECTION,CURVE,OTHER,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,1.933028333599979,2.761906873892921,INTERSECTION_OTHER
1.5,2016,7,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,0.4054651081081644,OTHER_SIGNAL-STOP
2.04,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,0.712949807856125,OTHER_OTHER
5.98,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.7884205679625405,OTHER_OTHER
6.56,2016,7,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.8809906029559975,OTHER_SIGNAL-STOP
10.62,2016,7,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,2.362739015813793,INTERSECTION_SIGNAL-STOP
2.46,2016,7,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,0.9001613499442714,OTHER_SIGNAL-STOP
13.11,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,2.5733752977756086,OTHER_SIGNAL-STOP
8.8,2016,7,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.174751721484161,OTHER_OTHER
8.59,2016,7,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,2.150598735996164,INTERSECTION_SIGNAL-STOP
2.82,2016,7,OVERNIGHT,OTHER,STRAIGHT,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.0367368849500223,OTHER_SIGNAL-STOP
5.44,2016,7,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-PROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.6937790608678513,INTERSECTION_SIGNAL-STOP
5.22,2016,7,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.6524974018945473,INTERSECTION_SIGNAL-STOP
1.47,2016,7,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,0.3852624007906449,OTHER_SIGNAL-STOP
4.17,2016,7,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.4279160358107101,OTHER_OTHER
7.14,2016,8,LATE-EARLY,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.965712776351493,OTHER_OTHER
10.44,2016,8,DAYTIME,INTERSECTION,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.3456445824544927,INTERSECTION_OTHER
4.18,2016,8,DAYTIME,INTERSECTION,CURVE,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.430311246536665,INTERSECTION_OTHER
5.32,2016,8,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,OTHER,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.6714733033535532,OTHER_OTHER
3.79,2014,4,DAYTIME,OTHER,CURVE,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.332366019094335,OTHER_OTHER
8.13,2014,4,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.0955609235597192,OTHER_OTHER
7.91,2014,4,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.0681277817795625,OTHER_OTHER
2.16,2014,4,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,0.7701082216960737,OTHER_OTHER
10.96,2014,4,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-PROTECTED-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,1.933028333599979,2.3942522815198695,INTERSECTION_OTHER
2.58,2014,4,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DARK-NOT-LIT,OTHER,NO,-0.8417344818553207,0.9477893989335261,OTHER_OTHER
9.28,2014,3,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.2278615467981093,OTHER_OTHER
5.81,2014,4,LATE-EARLY,OTHER,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.7595805708638197,OTHER_OTHER
6.89,2014,4,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-PROTECTED-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.9300710850255671,OTHER_OTHER
3.47,2014,4,DAYTIME,OTHER,STRAIGHT,US HWY,TWO-WAY-PROTECTED-MEDIAN,OTHER,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.244154593958768,OTHER_OTHER
4.65,2014,4,LATE-EARLY,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,0.22307133307770122,1.536867219599265,OTHER_OTHER
9.03,2014,4,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,4.454893394154628,2.200552367428894,OTHER_OTHER
4.09,2014,4,DAYTIME,OTHER,CURVE,OTHER,ONE-WAY,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.4085449700547104,OTHER_OTHER
4.56,2014,4,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.5173226235262947,OTHER_OTHER
5.78,2014,4,DAYTIME,INTERSECTION,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,4.454893394154628,1.7544036826842861,INTERSECTION_SIGNAL-STOP
1.58,2014,4,LATE-EARLY,OTHER,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,0.4574248470388755,OTHER_OTHER
4.89,2014,4,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.5871923034867805,OTHER_SIGNAL-STOP
5.75,2014,4,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,1.749199854809259,OTHER_SIGNAL-STOP
9.19,2014,4,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.2181159363675955,OTHER_OTHER
4.81,2014,4,DAYTIME,OTHER,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.5706970841176697,OTHER_OTHER
11.08,2014,4,DAYTIME,INTERSECTION,STRAIGHT,OTHER,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,2.405141681319138,INTERSECTION_SIGNAL-STOP
1.07,2014,4,LATE-EARLY,OTHER,STRAIGHT,STATE HWY,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,0.06765864847381486,OTHER_OTHER
14.13,2014,4,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-UNPROTECTED-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,2.6483001966964363,OTHER_OTHER
4.42,2014,4,DAYTIME,OTHER,STRAIGHT,OTHER,TWO-WAY-NO-MEDIAN,ASPHALT,DAYLIGHT,OTHER,NO,-0.8417344818553207,1.4861396960896067,OTHER_OTHER
15.39,2014,4,LATE-EARLY,OTHER,STRAIGHT,US HWY,ONE-WAY,ASPHALT,DAYLIGHT,SIGNAL-STOP,NO,-0.8417344818553207,2.733717947850788,OTHER_SIGNAL-STOP
